artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Outkast,Hey Ya!,235213,FALSE,2003,80,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,"hip hop, pop"
Kelis,Trick Me,206106,TRUE,2003,63,0.97,0.72,1,-3.347,0,0.149,0.0369,0.000389,0.326,0.962,107.17,"pop, R&B, Dance/Electronic"
Eminem,Just Lose It,248680,TRUE,2004,67,0.94,0.633,8,-3.56,1,0.0467,0.0581,0.0000404,0.281,0.962,121.003,hip hop
U2,Vertigo,193520,FALSE,2004,64,0.416,0.819,9,-3.974,1,0.0613,0.000138,0.00108,0.147,0.632,140.083,"World/Traditional, rock"
Franz Ferdinand,Take Me Out,237026,FALSE,2004,77,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,rock
Evanescence,My Immortal,262533,FALSE,2003,72,0.19,0.265,9,-9.206,1,0.0356,0.863,0,0.134,0.101,79.012,metal
Green Day,American Idiot,176346,TRUE,2004,77,0.38,0.988,1,-2.042,1,0.0639,0.0000264,0.0000786,0.368,0.769,186.113,rock
Katie Melua,The Closest Thing to Crazy,252466,FALSE,2003,55,0.562,0.219,4,-13.2,1,0.0312,0.856,0.000296,0.0979,0.106,127.831,"pop, easy listening, jazz"
Girls Aloud,Love Machine,205360,FALSE,2004,59,0.663,0.95,7,-4.21,1,0.0621,0.00127,0.00492,0.0753,0.697,116.02,"pop, Dance/Electronic"
Gary Jules,Mad World (Feat. Michael Andrews),189506,FALSE,2001,65,0.345,0.0581,3,-17.217,1,0.0374,0.976,0.000366,0.103,0.304,174.117,pop
Alicia Keys,You Don't Know My Name,366733,FALSE,2003,61,0.264,0.663,9,-8.264,1,0.187,0.59,0.00443,0.342,0.249,167.078,"pop, R&B"
James Blunt,You're Beautiful,209493,TRUE,2005,75,0.675,0.479,0,-9.87,0,0.0278,0.633,0.0000176,0.088,0.454,81.998,pop
Green Day,Boulevard of Broken Dreams,261266,TRUE,2004,72,0.49,0.679,8,-3.68,1,0.0309,0.00394,0.0000154,0.0383,0.506,167.046,rock
Sean Paul,We Be Burnin',213066,FALSE,2005,59,0.95,0.803,1,-4.195,1,0.151,0.145,0,0.0748,0.86,117,"hip hop, pop"
Baby Bash,"Baby, I'm Back",219920,TRUE,2005,4,0.899,0.365,9,-5.461,0,0.105,0.0508,0,0.097,0.749,100.01,"hip hop, pop, R&B, latin"
Gorillaz,DARE,244999,FALSE,2005,73,0.76,0.891,11,-5.852,0,0.0372,0.0229,0.0869,0.298,0.966,120.264,hip hop
Brian McFadden,Almost Here,229826,FALSE,2004,42,0.561,0.452,9,-7.324,0,0.0336,0.409,0,0.106,0.316,77.984,set()
Backstreet Boys,Incomplete,239586,FALSE,2005,63,0.437,0.589,4,-4.834,1,0.0331,0.231,0,0.0768,0.165,133.631,pop
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),325573,FALSE,2004,63,0.878,0.417,7,-6.799,1,0.361,0.0444,0,0.0833,0.904,77.49,"pop, R&B"
Gwen Stefani,Hollaback Girl,199853,TRUE,2004,69,0.926,0.916,10,-2.221,0,0.0929,0.35,0.00000617,0.0234,0.904,110.007,"pop, R&B"
Thirty Seconds To Mars,The Kill,231533,FALSE,2005,74,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,rock
Katie Melua,Nine Million Bicycles,197160,FALSE,2005,60,0.534,0.247,0,-15.636,1,0.0322,0.516,0.00859,0.122,0.344,82.168,"pop, easy listening, jazz"
Kaiser Chiefs,Everyday I Love You Less And Less,217706,FALSE,2005,58,0.49,0.956,1,-4.556,0,0.0407,0.00466,0.00000615,0.242,0.577,160.028,rock
Westlife,You Raise Me Up,241066,FALSE,2005,1,0.129,0.358,10,-6.596,1,0.0314,0.631,0,0.0886,0.172,75.048,pop
Shayne Ward,That's My Goal,219600,FALSE,2006,1,0.286,0.508,2,-5.966,1,0.0336,0.372,0,0.27,0.14,68.637,pop
Justin Timberlake,SexyBack (feat. Timbaland),242733,TRUE,2006,78,0.967,0.583,7,-5.562,0,0.0789,0.0584,0,0.0519,0.964,117,pop
Beyoncé,Irreplaceable,227853,FALSE,2007,70,0.447,0.694,7,-4.637,0,0.382,0.0293,0.00000546,0.167,0.509,175.868,"pop, R&B"
Nelly Furtado,Promiscuous,242293,FALSE,2006,82,0.808,0.97,10,-6.098,0,0.0506,0.0569,0.0000613,0.154,0.868,114.328,"hip hop, pop, latin"
Rihanna,Unfaithful,226973,FALSE,2006,70,0.588,0.391,0,-8.607,0,0.0334,0.839,0,0.227,0.349,144.069,"hip hop, pop, R&B"
Westlife,The Rose,219106,FALSE,2006,0,0.272,0.203,9,-9.706,1,0.0294,0.784,0,0.0805,0.172,109.581,pop
Keane,Is It Any Wonder?,186173,FALSE,2006,59,0.489,0.955,11,-2.771,0,0.0363,0.0000382,0.000178,0.334,0.816,129.352,pop
My Chemical Romance,Welcome to the Black Parade,311106,FALSE,2006,76,0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,rock
Justin Timberlake,What Goes Around.../...Comes Around (Interlude),448573,FALSE,2006,70,0.687,0.723,7,-4.751,1,0.0709,0.122,0.00102,0.573,0.432,76,pop
Timbaland,Give It To Me,234026,TRUE,2007,70,0.975,0.711,8,-3.904,1,0.0632,0.168,0.000552,0.0799,0.815,110.621,"hip hop, pop, R&B"
50 Cent,Ayo Technology,247946,TRUE,2007,67,0.63,0.782,8,-5.44,0,0.132,0.0828,0,0.034,0.418,140.144,"hip hop, pop"
Fedde Le Grand,Put Your Hands Up For Detroit - Radio Edit,150533,FALSE,2015,0,0.827,0.931,7,-4.474,1,0.202,0.0153,0.21,0.0992,0.491,127.995,"pop, Dance/Electronic"
Fabolous,Make Me Better,253573,TRUE,2007,62,0.607,0.599,11,-6.886,1,0.0995,0.33,0,0.199,0.562,86.491,"hip hop, pop, R&B"
Linkin Park,Bleed It Out,166373,TRUE,2007,73,0.529,0.967,1,-3.647,0,0.0508,0.114,0,0.61,0.596,140.127,"rock, metal"
Akon,Don't Matter,293066,TRUE,2006,52,0.801,0.454,2,-6.035,1,0.0371,0.225,0,0.226,0.34,125.139,pop
Manic Street Preachers,Your Love Alone Is Not Enough (feat. Nina Persson),235693,FALSE,2007,53,0.344,0.921,2,-3.049,1,0.0459,0.00143,0.0000113,0.38,0.396,126.766,"rock, pop"
Ludacris,Runaway Love,280680,TRUE,2006,51,0.405,0.721,1,-6.97,1,0.283,0.329,0,0.252,0.815,92.854,"hip hop, pop"
Flo Rida,Low (feat. T-Pain),231400,FALSE,2008,80,0.918,0.609,10,-5.64,0,0.0791,0.0928,0,0.139,0.304,128.008,"hip hop, pop"
Kardinal Offishall,Dangerous,246053,TRUE,2008,75,0.949,0.79,8,-5.957,1,0.0756,0.00437,0,0.0816,0.807,117.002,"hip hop, pop, R&B"
Lil Wayne,Lollipop,299333,TRUE,2008,69,0.829,0.428,0,-9.469,1,0.0831,0.056,0.00413,0.137,0.45,148.075,"hip hop, pop"
Madonna,Give It 2 Me,287906,FALSE,2008,57,0.837,0.954,8,-3.512,0,0.0414,0.0933,0.000405,0.143,0.972,127.019,pop
will.i.am,Heartbreaker,327880,TRUE,2007,46,0.788,0.549,9,-8.793,0,0.0732,0.0352,0.127,0.147,0.449,120.051,"hip hop, pop"
Basshunter,All I Ever Wanted - Radio Edit,176453,FALSE,2008,65,0.645,0.984,4,-7.051,1,0.0508,0.164,0.00701,0.164,0.553,144.954,pop
Pendulum,Propane Nightmares,313346,FALSE,2008,57,0.356,0.966,7,-4.13,0,0.0825,0.000262,0.148,0.192,0.215,173.992,Dance/Electronic
The Game,My Life,320893,TRUE,2008,60,0.673,0.766,11,-5.018,1,0.349,0.0724,0,0.0563,0.382,148.113,"hip hop, pop"
The Ting Tings,Shut Up and Let Me Go,171226,FALSE,2007,55,0.852,0.927,7,-4.497,1,0.0581,0.0109,0.00268,0.054,0.887,107.993,"pop, rock, Dance/Electronic"
The-Dream,I Luv Your Girl,267866,TRUE,2007,62,0.723,0.322,8,-9.702,1,0.0341,0.014,0,0.119,0.0406,90.063,"hip hop, pop, R&B"
Leona Lewis,Run,314720,FALSE,2007,62,0.285,0.462,5,-6.166,0,0.0291,0.428,0.00000561,0.122,0.0923,142.365,"pop, R&B"
Alexandra Burke,Hallelujah,217826,FALSE,2009,63,0.177,0.425,2,-6.211,0,0.0291,0.654,0,0.195,0.0942,182.571,pop
Coldplay,Violet Hill,222653,FALSE,2008,63,0.33,0.58,1,-7.875,0,0.0374,0.0614,0.00129,0.115,0.11,76.093,"rock, pop"
Adele,Chasing Pavements,210506,FALSE,2008,1,0.614,0.47,5,-6.09,0,0.0255,0.291,0,0.111,0.329,80.045,"pop, R&B"
Kid Cudi,Day 'N' Nite (Nightmare),221240,FALSE,2009,72,0.88,0.443,11,-6.359,0,0.0653,0.462,0.00000713,0.122,0.803,138.018,hip hop
Jeremih,Birthday Sex,226506,FALSE,2009,67,0.677,0.523,7,-5.603,0,0.0439,0.295,0,0.15,0.446,60.019,"hip hop, pop, R&B"
Eminem,We Made You,269613,FALSE,2009,63,0.924,0.853,2,-1.203,1,0.0792,0.107,0.00000145,0.129,0.67,114.003,hip hop
The xx,Intro,127920,FALSE,2009,2,0.617,0.778,9,-8.871,0,0.027,0.459,0.925,0.128,0.152,100.363,rock
Boys Like Girls,Love Drunk,226706,FALSE,2009,64,0.44,0.976,10,-3.17,1,0.141,0.00177,0.00000339,0.16,0.412,150.005,pop
Kelly Clarkson,Already Gone,281560,FALSE,2009,56,0.209,0.872,9,-2.996,1,0.0757,0.217,0,0.0768,0.294,78.139,"pop, R&B"
Shinedown,Second Chance,222066,FALSE,2008,67,0.46,0.796,0,-4.501,0,0.0333,0.00107,0,0.106,0.182,100.011,"rock, metal"
Eminem,Not Afraid,248133,TRUE,2010,79,0.855,0.954,0,-1.19,0,0.264,0.529,0,0.205,0.668,114.635,hip hop
Bruno Mars,Talking to the Moon,217866,FALSE,2010,76,0.498,0.59,1,-4.721,0,0.032,0.511,0,0.107,0.0784,145.867,pop
Yolanda Be Cool,We No Speak Americano (JT Radio Edit),157438,FALSE,2010,1,0.901,0.805,6,-5.005,1,0.0464,0.0712,0.0812,0.0923,0.737,124.996,Dance/Electronic
Adam Lambert,Whataya Want from Me,227320,FALSE,2009,57,0.438,0.672,11,-4.706,0,0.0429,0.0055,0,0.0583,0.457,185.934,pop
Cali Swag District,Teach Me How to Dougie,237480,TRUE,2011,66,0.846,0.438,11,-4.981,1,0.141,0.2,0.0000943,0.0939,0.512,85.013,"hip hop, pop"
Aloe Blacc,I Need A Dollar,243053,FALSE,2010,1,0.84,0.482,6,-7.116,0,0.0333,0.202,0,0.0873,0.957,95.498,R&B
Nelly,Just A Dream,237800,FALSE,2010,73,0.531,0.752,1,-6.161,1,0.0305,0.0421,0,0.12,0.103,89.917,"hip hop, pop, R&B"
Drake,Over,233560,TRUE,2010,57,0.325,0.848,7,-5.611,1,0.279,0.0109,0,0.124,0.433,100.093,"hip hop, pop, R&B"
Jay Sean,Do You Remember,210306,FALSE,2009,2,0.855,0.668,11,-4.892,1,0.0644,0.0242,0,0.102,0.803,125.846,"hip hop, pop, R&B"
Alicia Keys,Empire State of Mind (Part II) Broken Down,216480,FALSE,2009,71,0.484,0.368,6,-7.784,1,0.0341,0.74,0.0000382,0.118,0.142,92.923,"pop, R&B"
B.o.B,Magic (feat. Rivers Cuomo),196133,FALSE,2010,65,0.549,0.932,8,-4.11,0,0.343,0.0127,0,0.347,0.787,82.439,"hip hop, pop"
Sak Noel,Loca People - Radio Edit,215624,TRUE,2011,49,0.926,0.808,11,-3.148,0,0.0599,0.000915,0.00327,0.0515,0.701,127.998,Dance/Electronic
DJ Fresh,Louder (feat. Sian Evans) - Radio Edit,206776,FALSE,2012,55,0.31,0.926,6,-1.131,0,0.0464,0.0184,0.00792,0.483,0.493,139.85,"pop, Dance/Electronic"
Miguel,Sure Thing,195373,FALSE,2010,78,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,"pop, R&B"
Professor Green,Read All About It,235735,TRUE,2011,39,0.656,0.752,11,-5.522,0,0.0434,0.336,0,0.223,0.445,100.963,Dance/Electronic
Chip,Champion (feat. Chris Brown),237293,TRUE,2011,48,0.415,0.934,6,-2.914,0,0.24,0.078,0,0.145,0.52,190.151,"hip hop, Dance/Electronic"
Calvin Harris,Bounce (feat. Kelis) - Radio Edit,222186,FALSE,2012,62,0.779,0.963,2,-2.125,0,0.0399,0.0334,0.493,0.664,0.759,127.941,"hip hop, pop, Dance/Electronic"
Bruno Mars,The Lazy Song,189109,FALSE,2010,75,0.794,0.711,8,-5.124,0,0.0699,0.3,0,0.0955,0.955,174.915,pop
Adele,Someone Like You,285240,FALSE,2011,4,0.554,0.321,9,-8.251,1,0.028,0.893,0,0.0996,0.288,135.047,"pop, R&B"
Charlene Soraia,Wherever You Will Go,197577,FALSE,2011,60,0.597,0.115,9,-9.217,1,0.0334,0.82,0.000215,0.111,0.128,111.202,pop
Christina Perri,A Thousand Years,285120,FALSE,2011,70,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,pop
Skrillex,Bangarang (feat. Sirah),215253,TRUE,2011,70,0.716,0.972,7,-2.302,1,0.196,0.0145,0.0000322,0.317,0.576,110.026,"hip hop, pop, Dance/Electronic"
Kendrick Lamar,Swimming Pools (Drank) - Extended Version,313786,TRUE,2012,63,0.716,0.485,1,-7.745,1,0.404,0.123,0.0000269,0.604,0.26,74.132,hip hop
DJ Fresh,Hot Right Now (feat. RITA ORA) - Radio Edit,182333,FALSE,2012,58,0.524,0.972,4,-1.569,0,0.0431,0.00656,0.00058,0.224,0.476,175.017,"pop, Dance/Electronic"
Tyga,Rack City,203200,TRUE,2012,61,0.929,0.339,1,-10.881,1,0.371,0.0373,0.0000196,0.187,0.273,98.986,"hip hop, pop"
Frank Ocean,Lost,234093,TRUE,2012,64,0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,"hip hop, pop, R&B"
ScHoolboy Q,Hands on the Wheel (feat. Asap Rocky),197131,TRUE,2012,61,0.646,0.784,1,-7.471,0,0.108,0.0166,0,0.0721,0.179,127.839,"hip hop, pop"
Lana Del Rey,Born To Die,286253,FALSE,2012,53,0.18,0.636,4,-6.591,0,0.0439,0.209,0.000133,0.217,0.39,75.223,pop
Ellie Goulding,Lights - Single Version,210853,FALSE,2010,63,0.682,0.795,8,-6.17,0,0.0367,0.0297,0.0391,0.131,0.78,120.008,"pop, rock, Dance/Electronic"
Coldplay,Princess of China,239215,FALSE,2011,66,0.42,0.69,9,-6.221,0,0.0347,0.00385,0.015,0.287,0.237,85.014,"rock, pop"
Rudimental,Feel the Love (feat. John Newman),245186,FALSE,2013,64,0.389,0.706,1,-6.849,1,0.0593,0.0026,0.000182,0.686,0.238,179.911,"pop, Dance/Electronic"
Drake,Take Care,277386,TRUE,2011,75,0.629,0.515,0,-10.358,0,0.265,0.0267,0.0000122,0.0888,0.299,121.845,"hip hop, pop, R&B"
Stromae,Papaoutai,232146,FALSE,2013,0,0.733,0.818,10,-7.222,0,0.0859,0.0241,0,0.0636,0.253,116.019,pop
Bingo Players,Get Up (Rattle) - Vocal Edit,166933,FALSE,2013,1,0.801,0.985,7,-2.69,1,0.0645,0.0205,0.00000686,0.296,0.722,127.99,"pop, Dance/Electronic"
Klangkarussell,Sonnentanz - Sun Don't Shine,238120,FALSE,2014,68,0.579,0.549,5,-8.262,0,0.0909,0.104,0.0202,0.0964,0.155,119.74,"pop, Dance/Electronic"
A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",233786,TRUE,2013,76,0.853,0.693,1,-6.87,1,0.275,0.0239,0,0.11,0.662,95.967,hip hop
Christina Perri,human,250706,FALSE,2013,59,0.439,0.489,8,-6.286,1,0.0368,0.132,0.000643,0.114,0.253,143.808,pop
Drake,"Hold On, We're Going Home",227880,FALSE,2013,72,0.773,0.414,6,-7.436,0,0.0961,0.00411,0.000034,0.0733,0.289,99.993,"hip hop, pop, R&B"
Passenger,Let Her Go,252866,FALSE,2012,73,0.509,0.538,7,-7.335,1,0.0572,0.385,0,0.104,0.244,75.089,pop
Bruno Mars,When I Was Your Man,213826,FALSE,2012,83,0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,72.795,pop
Maroon 5,Animals,231013,FALSE,2014,79,0.279,0.742,4,-6.46,0,0.0898,0.000185,0,0.593,0.328,189.868,pop
John Legend,All of Me,269560,FALSE,2013,84,0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,"pop, R&B"
Nicki Minaj,Anaconda,260240,TRUE,2014,66,0.964,0.605,9,-6.223,1,0.179,0.0668,0.00000778,0.214,0.646,129.994,"hip hop, pop"
OneRepublic,Counting Stars,257386,FALSE,2014,62,0.663,0.705,1,-4.972,0,0.0385,0.0654,0,0.117,0.477,122.014,pop
The Chainsmokers,#SELFIE - Original Mix,183750,FALSE,2014,0,0.789,0.915,0,-3.263,1,0.248,0.0135,0.00000877,0.0818,0.66,127.955,"pop, Dance/Electronic"
Kiesza,Hideaway,251986,FALSE,2014,64,0.838,0.72,7,-4.135,0,0.0483,0.0862,0.00696,0.0772,0.203,122.993,"pop, Dance/Electronic"
Ariana Grande,Love Me Harder,236133,FALSE,2014,74,0.472,0.714,1,-4.389,0,0.0334,0.00937,0,0.0764,0.24,98.992,pop
5 Seconds of Summer,She Looks So Perfect,202496,FALSE,2014,74,0.494,0.951,9,-4.237,1,0.132,0.000569,0,0.327,0.441,160.025,pop
Alex & Sierra,Little Do You Know,185200,FALSE,2014,75,0.5,0.292,0,-8.554,1,0.0323,0.746,0,0.188,0.37,145.879,pop
Ed Sheeran,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",300840,FALSE,2013,71,0.581,0.0549,10,-20.514,0,0.0397,0.559,0,0.0718,0.234,152.037,pop
Jason Derulo,Trumpets,217306,FALSE,2013,53,0.627,0.703,0,-4.884,1,0.236,0.563,0,0.0962,0.64,81.897,"hip hop, pop"
Mark Ronson,Uptown Funk (feat. Bruno Mars),269666,TRUE,2015,82,0.856,0.609,0,-7.223,1,0.0824,0.00801,0.0000815,0.0344,0.928,114.988,pop
Ed Sheeran,Thinking out Loud,281560,FALSE,2014,81,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,pop
Fall Out Boy,Centuries,228360,FALSE,2015,80,0.393,0.858,4,-2.868,0,0.0729,0.00359,0,0.102,0.56,176.042,rock
Rob $tone,Chill Bill (feat. J. Davi$ & Spooks),177184,TRUE,2016,76,0.886,0.427,6,-10.028,1,0.145,0.0312,0.00099,0.0906,0.23,108.034,hip hop
Travis Scott,Antidote,262693,TRUE,2015,73,0.713,0.526,1,-5.046,1,0.032,0.00767,0.000148,0.124,0.131,131.05,"hip hop, Dance/Electronic"
SAYGRACE,You Don't Own Me (feat. G-Eazy),199314,FALSE,2015,55,0.336,0.664,7,-5.68,1,0.102,0.166,0.00000131,0.0575,0.294,186.394,"pop, R&B"
Sam Smith,"Writing's On The Wall - From ""Spectre"" Soundtrack",278987,FALSE,2015,66,0.261,0.302,5,-8.19,0,0.0339,0.769,0.00000257,0.0863,0.0883,81.418,pop
Bryson Tiller,Don't,198293,TRUE,2015,78,0.765,0.356,11,-5.556,0,0.195,0.223,0,0.0963,0.189,96.991,"hip hop, pop, R&B"
Sigala,Easy Love,229813,FALSE,2018,66,0.68,0.942,9,-4.208,1,0.0631,0.175,0.0013,0.117,0.647,123.976,"pop, Dance/Electronic"
David Guetta,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),207272,FALSE,2016,68,0.367,0.915,9,-3.456,0,0.0488,0.0022,0.0000581,0.0905,0.365,110.169,"hip hop, pop, Dance/Electronic"
Tinie Tempah,Girls Like (feat. Zara Larsson),196000,TRUE,2016,62,0.916,0.804,0,-3.406,1,0.049,0.37,0.0000118,0.0812,0.538,120.028,"hip hop, pop, Dance/Electronic"
Twenty One Pilots,Ride,214506,FALSE,2015,80,0.645,0.713,6,-5.355,1,0.0393,0.00835,0,0.113,0.566,74.989,rock
Coldplay,Adventure of a Lifetime,263786,FALSE,2015,76,0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995,"rock, pop"
99 Souls,The Girl Is Mine,216613,FALSE,2016,55,0.683,0.943,9,-3.6,1,0.0397,0.00423,0.0972,0.0356,0.706,118.991,Dance/Electronic
Illy,Papercuts (feat. Vera Blue),255889,FALSE,2016,51,0.369,0.618,6,-6.304,0,0.249,0.161,0,0.257,0.467,191.863,"hip hop, pop, Dance/Electronic"
PARTYNEXTDOOR,Not Nice,202661,FALSE,2016,62,0.598,0.496,0,-9.309,1,0.0804,0.0253,0.00132,0.12,0.725,128.06,"hip hop, pop, R&B"
Garrett Nash,"i hate u, i love u (feat. olivia o'brien)",251033,TRUE,2016,77,0.492,0.275,6,-13.4,0,0.3,0.687,0,0.101,0.18,92.6,"hip hop, pop"
Bryson Tiller,Exchange,194613,TRUE,2015,76,0.525,0.433,6,-10.598,1,0.185,0.107,0,0.135,0.276,160.108,"hip hop, pop, R&B"
